outcome,baseline_rate,lift,rate,weighted_yes,weighted_yes_m,weighted_n,weighted_n_m,sample_n,group_size,group_1,value_1,group_2,value_2
unpaid_helper,0.0632,2.59,0.163906,125766446,0.126,767310646,0.767,1145,2,life_stage,working_age,Household Religion,others
unpaid_helper,0.0632,2.58,0.162741,26284096,0.026,161508311,0.162,273,2,General Education Level,higher secondary,Household Religion,others
unpaid_helper,0.0632,2.55,0.160919,5215001234,5.215,32407700730,32.408,22808,2,life_stage,working_age,Household Social Group,scheduled tribe
unpaid_helper,0.0632,2.53,0.159989,53399985,0.053,333773826,0.334,470,2,age_band,25-34,Household Religion,others
unpaid_helper,0.0632,2.51,0.158775,85688679,0.086,539687824,0.54,816,2,life_stage,youth,Household Religion,others
unpaid_helper,0.0632,2.51,0.15836,58838558,0.059,371548530,0.372,423,2,General Education Level,primary,Household Religion,others
unpaid_helper,0.0632,2.48,0.156757,36123361612,36.123,230441640909,230.442,71003,2,Household Religion,Hinduism,Household Type,self-employed in agriculture
unpaid_helper,0.0632,2.45,0.155047,88354717,0.088,569856228,0.57,281,2,life_stage,youth,Marital Status,divorced/separated
unpaid_helper,0.0632,2.44,0.15449,12019966630,12.02,77804400936,77.804,24922,2,General Education Level,not literate,Household Type,self-employed in agriculture
unpaid_helper,0.0632,2.44,0.154189,7112030240,7.112,46125473341,46.125,30398,2,Sex,female,Household Social Group,scheduled tribe
unpaid_helper,0.0632,2.41,0.152581,39755874060,39.756,260555936628,260.556,89071,1,Household Type,self-employed in agriculture,,
unpaid_helper,0.0632,2.41,0.152581,39755874060,39.756,260555936628,260.556,89071,2,Household Type,self-employed in agriculture,Sector,rural
unpaid_helper,0.0632,2.41,0.152163,39242858856,39.243,257899797429,257.9,88186,2,Technical Education Level,no technical education,Household Type,self-employed in agriculture
unpaid_helper,0.0632,2.41,0.152194,20016288048,20.016,131518566196,131.519,38832,2,Household Social Group,other backward class,Household Type,self-employed in agriculture
unpaid_helper,0.0632,2.39,0.150893,2530798464,2.531,16772145699,16.772,11751,2,age_band,15-24,Household Social Group,scheduled tribe
unpaid_helper,0.0632,2.37,0.149657,160897459,0.161,1075105823,1.075,1512,2,Sex,female,Household Religion,others
unpaid_helper,0.0632,2.3,0.14555,2083350221,2.083,14313668873,14.314,3675,2,age_band,25-34,General Education Level,not literate
unpaid_helper,0.0632,2.29,0.145038,2232816801,2.233,15394663847,15.395,12142,2,General Education Level,middle,Household Social Group,scheduled tribe
unpaid_helper,0.0632,2.28,0.143881,14976214449,14.976,104087266306,104.087,35891,2,age_band,25-34,Sector,rural
unpaid_helper,0.0632,2.24,0.141861,302666649,0.303,2133536697,2.134,627,2,General Education Level,postgraduate and above,Household Type,self-employed in agriculture
unpaid_helper,0.0632,2.23,0.141091,10820130691,10.82,76689262282,76.689,34737,2,Sex,female,age_band,45-59
unpaid_helper,0.0632,2.22,0.140414,3986111055,3.986,28388342939,28.388,9621,2,age_band,35-44,General Education Level,not literate
unpaid_helper,0.0632,2.22,0.140404,706208725,0.706,5029841721,5.03,7145,2,Household Religion,Christianity,Household Type,self-employed in agriculture
unpaid_helper,0.0632,2.22,0.140567,130325214,0.13,927137192,0.927,1304,2,Marital Status,currently married,Household Religion,others
unpaid_helper,0.0632,2.2,0.139088,5062530039,5.063,36397963429,36.398,11227,2,Household Social Group,scheduled caste,Household Type,self-employed in agriculture
unpaid_helper,0.0632,2.19,0.138517,12611881093,12.612,91049335308,91.049,32449,2,life_stage,working_age,General Education Level,not literate
unpaid_helper,0.0632,2.19,0.138107,226399260,0.226,1639307038,1.639,1945,2,Household Religion,others,Sector,rural
unpaid_helper,0.0632,2.14,0.13539,1737992387,1.738,12836912638,12.837,9004,2,age_band,45-59,Household Social Group,scheduled tribe
unpaid_helper,0.0632,2.14,0.13517,225228023,0.225,1666262549,1.666,2125,2,Household Religion,others,Household Social Group,scheduled tribe
unpaid_helper,0.0632,2.13,0.134747,25138820150,25.139,186562648444,186.563,82890,2,Sex,female,life_stage,working_age
unpaid_helper,0.0632,2.12,0.134205,9604873125,9.605,71568743932,71.569,32275,2,Sex,female,age_band,35-44
